village,soil,total_sqft,density,price(*100)
Khanpur,2 index,1128,2,68
Khanpur,4 index,4428,4,255
Khardoni Shekhupur,2 index,1051,2,56.74
Kharkhari,3 index,3500,5,275
Kharkhauda,4 index,2400,4,130
Kharkhoda (NP),2 index,1327,2,85
Khaspur,4 index,2912,6,210
Khawajahanpur,2 index,1301,2,55
Khera Balrampur,1 index,650,1,30
Kheri Nizd Kalina,3 index,1200,3,67.75
Kherki Muzakkipur,3 index,1500,2,89.99
Khwajampur Majra,4 index,2700,6,675
Kinannagar,4 index,1350,4,145
Kishori,2 index,1000,2,28.88
Kitholi,2 index,984,2,45.91
Kudhla,3 index,1819.18,3,160
Kunkura,1 index,900,1,175
Kurali,3 index,1355,3,83.87
Kuri,3 index,2145,4,270
Ladpura,3 index,2475,4,300
Laharra,2 index,1118,2,30
Lahaurgarh,1 index,910,1,42
Mahroli,3 index,1250,3,39
Makarmatpur Bharapur,2 index,1304,2,100
Mamipur,3 index,1615,3,58
Mansabgarh,2 index,1400,2,68
Masoori,2 index,1070,2,47.5
Mau Khas,3 index,3500,3,395
Medpur,2 index,1132,2,89.37
Meerut (CB),3 index,2000,3,85
Meerut (M Corp.),7 index,2400,5,550
Mehpa,1 index,794,1,65
Mewla,2 index,1090,2,43.59
Mirpur,3 index,1500,3,70
Mirpur Jakhera,3 index,2059,3,225
Mirzapur,1 index,525,1,30
Mohd.Pur Gumi,2 index,1447,2,75.97
Mohdpur Dhumi,2 index,1269,2,75
Mohiuddinpur (CT),4 index,4800,4,700
Mohiuddinpur Lalsana,2 index,1070,2,37.45
Morna,2 index,1150,2,28
Mundali,2 index,1208,2,70
Murlipur Phool,2 index,1185,2,45.5
Muzaffarnagar Saini,3 index,1200,3,130
Muzakkipur,2 index,888,2,34
Nagla Kaboolpur,2 index,1015,2,25.88
Nagla Kumbha,1 index,532,1,22.49
Nagla Mal,3 index,1060,3,62
Nagla Patu,1 index,700,1,35
Nagla Shekhu,2 index,902,2,42
Nagli Azamabad,6 index,600,3,95
Nalpur,2 index,1175,2,47
Nanu Fatahpur,2 index,1365,2,122
Narahara,2 index,984,2,51
Narangpur,4 index,2700,2,100
Nek,3 index,1475,3,96
Nityanandpur,2 index,1300,2,79
Pabla,5 index,1200,6,220
Pachgaon Patti Amar Singh,3 index,1453,2,43.59
Pachgaon Patti Gopal,2 index,1550,2,160
Pachgaon Patti Sanwal,3 index,1666,3,95
Pachpera,4 index,1410,4,160
Paindapur,4 index,4025,5,800
Panchi,3 index,1845,3,91
Panchli Khurd,3 index,1676,3,52
Pastra,2 index,1137,2,63
Patti Kherki,3 index,1360,2,70.5
Peepli Khera,3 index,1374,2,70
Pepla,3 index,1700,3,155
Puth Khas,5 index,3227,5,250
Puthri,4 index,2145,4,125
Qasimpur,4 index,2400,6,600
Raghunathpur,3 index,2170,3,151
Rajpura,2 index,1080,2,55
Rajpura,3 index,1790,3,100
Rali Chauhan,1 index,550,1,17
Rampur Moti,3 index,1270,2,50.79
Rasna Mohammadpur Akbarpur,2 index,1033,2,48
Rasulpur Aurangabad,2 index,1000,2,80
Rasulpur Dhantala,4 index,2940,6,280
Rasulpur Dhaulri,2 index,1240,2,52.6
Rasulpur Marhi,5 index,1650,5,450
Rasulpur Rohta,2 index,883,2,39
Rasulpur Zahid,3 index,1500,2,97
Rawa,3 index,1730,3,139
Rukanpur,3 index,1915,3,80
Ruknuddinpur Misri Urf Phaphun,3 index,1545,3,79
Sadharanpur,3 index,1865,4,140
Sadullapur Urf Chandpura,2 index,1150,2,40
Salahpur,2 index,1200,2,49
Salarpur Jalalpur,2 index,963,2,40
Saleh Nagar,3 index,1200,3,120
Salempur,4 index,2600,4,260
Sameypur,4 index,1700,4,108
Satwai,3 index,1682,3,120
Set Kuan,3 index,1371,2,65
Sewalkhas (NP),2 index,901,2,49.5
Shafiabad Loti,7 index,600,7,73
Shahpur Jainpur,3 index,1730,3,120
Shakarpur,4 index,1200,4,125
Shaulana,3 index,1500,3,102
Shekhpuri,4 index,3785,6,280
Shipura,4 index,3500,4,245
Sial,2 index,1203,2,59.86
Sikarpur,2 index,1357,2,54
Sikhera,3 index,1600,3,76
Sikri,1 index,350,1,13.5
Sindhawali (CT),3 index,1665,3,53
Sisola Buzurg,3 index,1400,3,200
Sisola Khurd,1 index,835,1,46.95
Sisoli,2 index,815,3,160
Siwal Khas,3 index,1444,2,80
Soharka,2 index,1277,2,55
Tatina Sani,3 index,1521,3,94.71
Thirot,2 index,1134,2,40
Tikri,2 index,995,2,34.82
Timakia,3 index,2760,5,157
Ukasia,2 index,1325,1,92
Ukhleena,6 index,4000,6,150
Uldeypur,3 index,1525,3,90
Uldhan,3 index,1320,2,73
Uplehra,1 index,650,1,23
Yusufabad,3 index,1858,2,167
Achikalan,2 index,1150,2,38
Afjalpur Urf Raninagla,2 index,769,2,40
Agwanpur,3 index,1571,3,105
Ahmadnagar Badhla,3 index,1445,3,86.56
Ahmadpur Urf Dandoopur,3 index,1590,2,135
Ahmadpuri Urf Amanpuri,2 index,902,2,49
Aidalpur,3 index,2238,3,140
Aidalpur,2 index,1090,2,31.49
Akbaarpur Khadar,3 index,1712,3,82
Akbarpur Garhi,2 index,1088,2,68
Akbarpur Ichchhabad,3 index,1575,3,63.1
Akbarpur Sadat,6 index,2150,6,205
Akheypur,3 index,1920,3,150
Alamgirpur Badhla,2 index,1000,2,57
Alawalpur,2 index,1100,2,56.1
Alipur Alampur,2 index,1089,2,45
Alipur Morna,2 index,1106,2,43.09
Amarpur Mazra Khandawli,2 index,927,2,37
Amarsinghpur,2 index,1339,2,58
Ameharasani,1 index,923,1,45.69
Aminabad Urf Baragoan,3 index,2900,3,285
Amroli Urf Baragoan,2 index,1175,2,75
Asfabad,2 index,975,2,55
Asilpur,3 index,2400,4,180
Askaripur,3 index,1330,3,72
Assa,2 index,1183,2,59.74
Atalpur,3 index,1758,3,133
Atmadpur,3 index,1200,3,265
Attaura,3 index,1255,2,77.68
Badhwa,3 index,600,4,110
Badhwi,2 index,1100,2,50
Badshahpur,2 index,1170,2,46.8
Baghpur,5 index,2400,5,120
Bahadurpur,3 index,1530,3,51.77
Bahorpur,2 index,1420,2,107
Bahsuma (NP),4 index,1200,4,300
Bajampur,6 index,1045,6,160
Bali,3 index,1591,3,115
Bamnaula,3 index,1680,3,120
Bamnauli,2 index,675,3,52
Bana,2 index,1055,2,57.63
Barauda,3 index,1918,3,129
Basiviran,2 index,1280,2,76
Bastora Norang,3 index,1560,3,66
Batawli,2 index,1145,2,49.5
Batnor,3 index,2106,3,126
Behbalpur,3 index,1801,3,139
Behjadka,5 index,1200,5,120
Behlolpur,2 index,1718,3,288
Behrora,3 index,1306,3,54.65
Behsuma,2 index,1320,2,92
Bela,3 index,1350,2,65
Bhagawanpur,4 index,2990,4,324
Bhagupur,4 index,3800,5,300
Bhagwanpur Bangar,3 index,1344,2,42
Bhagwanpur Khadar,3 index,1893,3,100
Bhainsa,3 index,1107,2,43
Bharolli,9 index,1200,10,180
Bhattipura,2 index,1190,2,75
Bhirwara,2 index,1000,2,35
Bhndora,2 index,2400,2,160
Bhogpur,2 index,1000,2,48.5
Bhojpur,3 index,2113,3,155
Bhuwa,2 index,1100,2,46
Bisola,5 index,1200,4,160
Bondra,4 index,1884,4,120
Chak Paswara,2 index,1110,2,40
Chamraud,2 index,1027,2,43
Chandlawar Urf Mahalwala,3 index,1250,3,40
Chandpur,3 index,1470,3,62
Chhuchai,2 index,1150,2,75
Chitwana Sherpur,3 index,1200,3,165
Dabkheri,1 index,703,1,52
Dabthla,3 index,1400,2,62
Dariapur,2 index,1195,2,51
Daulatpur Urf Mamipur,2 index,1302,2,69.1
Dayalpur,3 index,1583,3,74.4
Dayalpur,3 index,1488,2,60
Dedupur,4 index,600,5,85
Dhanpura,3 index,1385,2,34.63
Dhanpura,4 index,3262,4,260
Dhikauli,3 index,1600,3,104
Dhuma Nagli,2 index,1150,2,90
Dudheli Bangar,9 index,4500,9,166
Dudhli Khadar,2 index,1263,2,78
Duperi Chaw,7 index,1200,8,110
Durveshpur,2 index,1299,2,85
Fajilpur,2 index,1330,2,78
Fatehpur Narain,3 index,1282,2,52.43
Fatehpur Prem,3 index,1853,3,82
Firozpur,2 index,861,2,35
Ftahpur Hansapur,3 index,1600,3,95
Gagsona,2 index,1256,2,62.8
Gajraula,3 index,1390,2,80
Gajrauli,3 index,1550,2,90
Gajupura,11 index,1200,6,150
Ganeshpur,2 index,919,2,49
Garina,3 index,1625,3,80
Gayanagla Urf Nagla Katar,2 index,1195,2,44
Gazipur,6 index,2400,4,600
Gesupur Januvi,2 index,1159,2,60
Gesupur Shumali,3 index,1386,3,57.46
Gokulpur,2 index,1197,2,79
Govindpur Sakarpur,4 index,2690,4,191
Govindpuri,4 index,3293 - 5314,,226
Guramb,3 index,1295,2,50.28
Gurha,3 index,1310,2,37.83
Hadipur Gaori,2 index,1132,2,79.28
Haripur,3 index,2350,3,400
Harisinghpur,4 index,2400,4,500
Hasanpur Kalan,3 index,1645,3,135
Hastinapur (NP),2 index,1200,2,45.84
Hastinapur Kaurwan,4 index,3000,4,330
Hastinapur Pandwan,3 index,1937,3,140
Hatoopura,2 index,1015,2,33.5
Hazratpur,2 index,1080,2,39
Himaupur,3 index,1350,2,80.99
Ibrahimpur,3 index,1149,2,29
Ikwara,2 index,1185,2,59
Issapur,3 index,1720,3,135
Jafarpur Nagla,3 index,2080,3,175
Jai,3 index,1500,3,87
Jaisinghpur,3 index,1566,3,97
Jalalpur Jora,3 index,2386,3,334
Jalalpur Maqbulpur,4 index,1500,4,110
Jalalpur Raunakali,2 index,1290,2,49.02
Jamalpur Khadar,3 index,1531,3,72
Jamalpur-Meghrajpur,3 index,1839,3,165
Jandheri,4 index,4200,4,760
Jarauda,3 index,1400,2,40.43
Jataula,2 index,550,1,15
Jeetpur,2 index,1140,2,39
Jharaka,3 index,1210 - 1477,3,57.76
Jhijharpur,4 index,2000,4,100
Jhunjhunee,2 index,1100,2,46
Kabirpur,2 index,1200,2,55
Kailirampur,3 index,1618,3,68
Kandala,4 index,2830,5,160
Kanker Khera,3 index,1315,2,74
Kareempur,2 index,1141,2,42.75
Kasimpur,2 index,1080,2,55
Katra,2 index,1200,2,60
Kayasth Barha,2 index,1111,2,41.88
Khaikhera,2 index,1022,2,45.9
Khalidpur,2 index,1275,2,65
Khand Awli,2 index,900,2,70
Khanpur Banger,2 index,1224,2,39.2
Khanpur Garhi,2 index,1135,2,43
Khanwala,2 index,1050,2,52.1
Kharkhali,3 index,1535,3,86
Khata,2 index,1392,2,130
Khatki,2 index,1050,2,72
Khejuri Alyarpur,3 index,1513,3,103
Kheri Kalan,3 index,1621,3,72
Kheri Khurd,2 index,892,2,39
Kheri Manihar,2 index,1205,2,40
Kherki Jadid,3 index,1355,3,83.87
Khijarpur,5 index,1250,5,300
Khor Ahir,7 index,1650,9,345
Khorrai,4 index,1200,6,70
Kiratpur,2 index,1400,2,168
Kishanpur,2 index,726,2,35
Kishanpur Birana,3 index,1500,3,149
Kishorpur,4 index,3895,4,405
Kithaur (NP),2 index,1079,2,41
Kithor Rural,2 index,1170,2,46
Kohla,2 index,1104,2,39
Kol,2 index,950,2,45
Kunda,4 index,4818,4,390
Kunehra,3 index,1650,2,52
Kuri Kamalpur,3 index,1559,3,127
Kutubpur,2 index,1100,2,38
Laliyana,3 index,1750,3,150
Lalpur,2 index,1215,2,45.5
Lalpur,3 index,1868,3,135
Latifpur,2 index,1130,2,32.63
Lutfullapur Baksar,3 index,1570,3,64.5
Machhra,3 index,1691,3,98
Mahamudpur Shikhera,5 index,4355,3,350
Mahmudabad,2 index,1225,2,55
Mahmudpur Garvi,3 index,1690,3,112
Mahmudpur Sherki,2 index,1418,2,103
Makhannagar,4 index,1896,3,125
Makhdumpur,1 index,605,1,40
Mamipur,5 index,800,5,95
Mandwari,2 index,900,2,32.5
Manoharpur,1 index,750,2,50
Manpur,3 index,780,3,62
Manpur,2 index,908,2,26
Matora,4 index,3369 - 3464,6,143
Mavi,4 index,3216,4,226
Mawana (NPP),5 index,2400,4,225
Mawana Kalan,2 index,1400,2,68
Mawana Khurd,2 index,1092,2,44
Meerpur,2 index,1255,2,74
Meerpur Sadhunagal,3 index,1500,2,100
Meghrajpur,2 index,1296,2,72
Mewa,2 index,925,2,38
Mirzapur,2 index,1023,2,42
Mishipur,2 index,600,3,75
Mohammadpur Kheri,2 index,1020,2,44.5
Mohammadpur Shakist,3 index,1530,3,77
Mor Kalan,3 index,1650,3,71
Morkhurd,3 index,1605,2,85
Mubarikpur,2 index,1925,2,50
Mubarikpur,2 index,1190,2,50.66
Murad Gaon Urf Kuwan Khera,3 index,1374,3,68
Muradpur Urf Sholda,2 index,1140,2,65
Muzaffarpur Khunti,3 index,1725,3,130
Nagla Azdi,3 index,1075,2,50
Nagla Chand,3 index,1574,3,93.34
Nagla Gusai,1 index,965,1,32
Nagla Hareroo,3 index,1550,3,83
Nagla Jarif,2 index,1205,2,60
Nagla Salempur,3 index,1082,2,55
Nagla Shahu,3 index,1215,2,52.85
Nagli Abdulla,4 index,2483,5,230
Nagli Issa,2 index,1200,3,46.14
Nagli Khadar,1 index,1500,1,19.5
Nagli Kithaur,4 index,2360,4,600
Nagori,4 index,3198,4,250
Nai Putha,3 index,1452,3,60.98
Naidru,3 index,1329,2,41
Narangpur,2 index,1125,2,44
Nasarpur,2 index,1200,2,70
Navipur Amanatnagar,3 index,1350,3,39.97
Nawal Surajpur,3 index,1125 - 1500,3,51.19
Neemka,3 index,2600,3,195
Niloha,2 index,1200,2,160
Nimka Viran,3 index,1220,3,35.23
Nirawali,2 index,1255,2,80
Nityanandpur,3 index,1904,3,155
Paharpur,2 index,1329,2,70
Paharpur Kutub,2 index,1200,2,60
Paharpur Ram,3 index,2135,3,160
Pali,3 index,2770,4,315
Palra,1 index,813,1,39
Parichhatgarh,4 index,3884,4,240
Parikshitgarh (NP),3 index,3876,3,300
Partapur Hansapur,2 index,800,2,30
Paswara,4 index,4750,2,120
Pathanpur,3 index,1500,3,70
Penai,3 index,1880,3,95
Phalauda (NP),3 index,1440,2,55
Phalawda Rural,3 index,1575,3,90
Phitkari,3 index,1630,2,97.78
Pilona,3 index,1180,3,55
Poothi,2 index,1090,2,36
Rachhoti,2 index,1020,2,48.45
Radhna Inayatpur,4 index,2425,4,173
Rafan,2 index,1097,2,33.82
Rahawati,2 index,1070,2,50
Rahmapur,2 index,1000,2,58
Rajoopur,8 index,1120,8,150
Rampur Ghoria,2 index,1150,2,56
Rampur Sadhu Nagli,3 index,1900,4,145
Rasulpur Goari,2 index,1141,2,49
Rasulpur Hansapur,2 index,937,2,44
Rasulpur Ikla,2 index,1075,2,60
Rathaura Khurd,2 index,1000,2,65.3
Rathora Kalan,3 index,1450,3,77.41
Rehadra,5 index,897,2,85
Roopra,2 index,936,2,43
Rustampur Bhikund,2 index,1280,2,75
Sadarpur,2 index,1050,2,45
Sadullapur,2 index,1350,2,86
Sadullapur,2 index,1325,2,70
Saidipur Sadipur Urf Ramnagar,2 index,1174,2,59
Saidipur Seth,3 index,1890,3,162
Saifpur Firojpur,1 index,735,1,75
Saifpur Karamchandpur,1 index,500,1,24
Sakoti,3 index,1304,3,80
Salah Rasulpur Panah,3 index,1653,3,120
Salarpur,3 index,1075,2,52
Sandhan,2 index,1212,3,42
Sanota,2 index,1100,2,50
Sarai Khadar,4 index,3436,6,500
Sarangpur,3 index,1200,4,145
Sathla,2 index,1140,2,50
Seena,2 index,1200,2,100
Shah Kulipur,3 index,1532,3,83
Shahabad Garhi,3 index,2776,4,195
Shahajhapur,3 index,1531,2,75
Shahapur,3 index,1270,2,50.79
Shahapur Khadar,2 index,1325,2,53
Shahipur,3 index,1200,3,160
Shahpur Sultanpur,3 index,1156,2,44
Shahzadpur,4 index,2000,4,320
Shamashpur,2 index,1260,2,70
Shamaspur,2 index,1934,2,90
Sherpur,2 index,1060,2,40
Shikhera,3 index,1476,3,95
Shimla,2 index,1185,2,85
Shirjepur,3 index,1265,2,82
Shivpuri,4 index,3200,5,150
Shodatt,2 index,1196,2,56.81
Sikandarpur,2 index,1280,2,69
Singhpur,4 index,800,4,86
Sona,2 index,1175,2,45
Sujatpur,3 index,1850,3,98
Sultanpur Dabal,4 index,2400,4,525
Tajpura,2 index,1195,2,70
Takhawali,3 index,2000,3,185
Tarapur,7 index,600,4,100
Tarbiyatpur Janubi,4 index,800,5,155
Tarbiyatpur Shumali,2 index,1180,2,36.5
Tatina,2 index,1050,2,49.87
Tigri,3 index,1400,2,40.44
Tofapur,4 index,2360,4,150
Veerkhera,2 index,1030,2,77.25
Akhtyarpur,2 index,1512,1,65.01
Alamgirpur-Faridpur,2 index,929,2,48
Andawali,3 index,1252,3,61
Aterna,3 index,1485,3,115
Atmadnagar Allipur,3 index,1124,2,55
Aurangnagar Rardhana,6 index,2400,6,370
Badruddinnagar Nanu,3 index,1407,3,120
Bahadurpur,3 index,1482,2,97
Bahrala,2 index,1163,2,98.86
Baparsa,3 index,1570,3,140
Baparsi,3 index,3480,4,284
Barkali Nekpur,1 index,520,1,14.04
Batjeora,3 index,2000,3,160
Bhalsauna,2 index,1352,2,75
Bhamori,2 index,1152,2,65
Bharota,3 index,1575,3,93
Bhawa-Nagla,3 index,1965,4,125
Bhuni,3 index,1300,2,70
Bihta,4 index,1,4,120
Bubakpur,2 index,957,2,47
Chandna,3 index,1740,3,60
Charla,5 index,1080,6,65
Chhabariya,2 index,1060,2,35
Chhur,2 index,975,2,50
Chindauritappa Lawar,2 index,1150,2,51
Chirori,3 index,1738,2,79
Dabathuwa,3 index,1250,3,55
Dabathuwa Garhi,3 index,1788,3,90
Dadri,2 index,1151,2,59
Dahar,3 index,1300,2,60
Daulatpur,2 index,1150,2,52.8
Daurala (NP),2 index,1380,2,75
Deoli Khera Urf Jainpur,3 index,1645,3,117
Dhanju,2 index,1141,2,45.9
Dhanwali,2 index,1175,2,82.5
Dulehra Chauhan,3 index,1355,2,61
Gesupur Baphawat,2 index,1150,2,70
Gotka,5 index,5800,5,80
Harar,2 index,1000,2,45
Ikari,2 index,1007,2,65
Jafarnagar-Begamabad,4 index,3000,5,100
Jainpur,3 index,1436,3,70
Jalalabad Urf Jalalpur,4 index,4000,4,220
Jalalpur-Akkhepur,3 index,2372,3,140
Jamalpur Goma,6 index,1500,6,240
Jamalpur Jalalpur,3 index,167Sq. Meter,3,10
Jasar Sultannagar,2 index,1200,2,150
Jasrathpur,2 index,1016,2,58
Jeori,2 index,1100,2,48
Jhitkari,2 index,1080,2,45
Jitpur,2 index,1070,2,60
Julehra,3 index,1532,3,115
Kaili,2 index,1040,2,42.12
Kailota,3 index,3100,3,250
Kakkepur,2 index,1076 - 1199,2,48.905
Kaland,3 index,1430,2,51.6
Kalandi,2 index,1160,1,163
Kamaruddinnagar Madhiyai,4 index,3262,5,205
Kanora,7 index,2100,7,410
Kapsarh,2 index,1190,2,100
Karnawal (NP),3 index,1827,3,100
Karnawal Rural,2 index,1210,2,75
Khanuda,3 index,1500,3,95
Khawajahanpur-Kushawali,2 index,1050,2,53.5
Khera,2 index,1251,2,88.73
Kheri Jatran,3 index,1600,2,115
Kheri Kalan,2 index,1128,2,65.5
Kheri Tappa Lawar,3 index,1820,3,93
Khirwa Jalalpur,3 index,2072,4,159
Khirwa Nauabad,3 index,1510,2,59
Khiwai,3 index,1925,2,114
Kulanjan,3 index,2651,2,225
Lawar (NP),3 index,2072,4,147
Lawar Janaali Rural,2 index,1000,2,36
Lawar Khas Rural,3 index,1752,3,145
Lawri Hiranpur,2 index,960,2,56
Loiya,2 index,1180,2,63
Machhri,3 index,2270,3,180
Madaripur,2 index,650,2,59
Madarpura,2 index,1200,2,75
Mahadeo,3 index,1180,2,46
Mahalka,3 index,1300,3,47
Mail,2 index,1157,2,40
Mainaputhi,3 index,1300,3,69
Maithna Indersingh,3 index,1305,2,59
Mamupur Urf Dedwa,3 index,2006,4,196
Mamuri,2 index,1290,2,80
Mandora,2 index,1170,2,45
Mataur,4 index,971,2,135
Mawi Mira,2 index,1400,2,78
Meharmati Ganeshpur,2 index,1200,2,75
Mithepur,3 index,1155,2,60
Mohammadpur Akbarpur Chakbandi,3 index,1725,3,85
Mohammadpur Akbarpur Chakbandi,2 index,700,2,40
Mohammadpur Hayak,4 index,7000,5,2050
Mohanipur,2 index,1112,2,88
Mozamabad-Jwalagarh,2 index,1178,2,78
Mukhtyarpur Nagla,2 index,1274,2,81
Mulhaira,2 index,915,2,32
Nagla Order,8 index,1650,6,135
Nagla Rathi,1 index,760,1,21.28
Nagli Ajar Salempur,3 index,1540,3,68
Nagli Mazra Mataur,2 index,1206,2,38.5
Nagli Sadharan,3 index,1645,3,95
Nahli,4 index,1200,4,170
Nangla Sani,4 index,1200,4,140
Nehori,4 index,2342,3,115
Pali,3 index,1200,2,55
Panchli Buzurg,2 index,1056,2,33
Panwari,8 index,4800,8,225
Pathauli,3 index,1450,3,54.3
Pavli Khas,2 index,1161,2,36.69
Pavli Khurd,2 index,1097,2,65
Pithlokhar,2 index,850,2,35
Pohali,3 index,1715,3,115
Rajpur Momin,3 index,2300,3,317
Rasulpur Muradnagar,2 index,1200,2,59
Ratauli,2 index,1080,2,38
Rithali,2 index,1200,2,50.3
Ruhasa,4 index,2400,4,550
Sahipur Daurala,3 index,1400,2,78
Sakoti,4 index,1500,4,200
Salawa,1 index,381 - 535,1,19.695
Samaspur,2 index,1230,2,57
Samaspur Surani,3 index,1640,3,88
Samoli-Salempur,3 index,1700,3,125
Sardhana (NPP),3 index,1478,2,44
Sardhana (Rural),4 index,6600,4,986
Saroli Viran,2 index,1020,2,40.79
Sarswa,2 index,1200,2,150
Sarurpur Khurd,3 index,1275,2,95
Shahpur Pirpur,4 index,1600,3,165
Shahpur Zadid,2 index,1110,2,38.85
Siwaya-Jamalullapur,3 index,1627.86,3,88
Tanda,2 index,620,2,22
Tandi,4 index,3004,4,285
Teharki,2 index,1133,2,52
Ulakhpur,2 index,1182,2,82.5
Walidpur,3 index,1500,3,100
Zafrabad-Durweshpur,4 index,3900,5,360
Afzalpur Pawati,2 index,1200,2,58
Ahara,2 index,1128,2,48.79
Ajnauli,3 index,2215 - 2475,,293
Ajrara,2 index,900,2,110
Alamgir Pur,2 index,1100,2,45
Alampur Buzurg,2 index,635,1,22
Allipur,4 index,2062,3,140
Allipur Jijmana,3 index,1874,4,130
Amanullapur,4 index,600,3,78
Amehra Adipur (CT),2 index,1171,2,75
Aminagar Urf Bhurbaral (CT),3 index,2020,3,85
Arnawali,2 index,1059,2,34.5
Ataula,3 index,1315,2,59.1
Atrara,3 index,1760,3,110
Azampur,2 index,1200,2,125
Azizpur,3 index,1192,2,62
Badha Girdharpur,3 index,1645,3,121
Badhala Kaithwara,2 index,1250,2,72
Badholi,1 index,524 - 894,1,34.385
Bafar,2 index,1340,2,77
Bahadurpur,3 index,2388,4,239
Bahchaula,2 index,1369.1,2,104
Bahrampur Khas,2 index,1355,2,75
Bahrampur Morna,2 index,1150,2,65
Bajaut,3 index,1938,3,113
Banwaripur,4 index,2462,4,124
Baram,3 index,1636,3,85
Barhanpur,3 index,1430,2,75
Basatikri,3 index,2000,3,85
Bhadaura,3 index,993,2,50
Bhagwanpur,4 index,1260,4,150
Bhagwanpur Chittawan,3 index,1700,3,88
Bhagwanpur Khalsa,2 index,1270,2,78
Bhavi,3 index,1500,3,121
Bhawanpur,3 index,2300,3,290
Bhurpur,4 index,7500,4,900
Bijoli,3 index,1650,3,86.45
Bohla,2 index,1109,2,63
Chak Morna,2 index,1280,2,49.75
Chandora,4 index,2885,3,185
Chandsara,9 index,1200,9,145
Chhajmalpur Urf Chhajupur,3 index,1600,3,180
Chhattri,3 index,1462,3,71
Chindori Khas,1 index,607,1,35
Chindori Patti Dalu,2 index,930,2,25
Chobla,4 index,4500,5,300
Dalampur,5 index,1200,5,160
Damgarhi,3 index,2600,3,237
Datavali Gesupur,4 index,3000,4,140
Daulatpur Fakhrabad Urf Kayast,3 index,1418,3,52.47
Dhadra,2 index,4200,1,160
Dhanota,2 index,1125,2,65
Dhikauli,3 index,1825,3,126
Dhilaura,2 index,1320,2,79.5
Dhindala,4 index,3000,4,140
Dhir Khera,3 index,1490,2,300
Dilwara,4 index,1650,3,300
Dimoli,2 index,750,2,52.7
Dungar,3 index,1400,2,80.54
Durjanpur,4 index,4104,4,360
Faizabad Pachgaon,4 index,5000,4,375
Fakharpur Kabatta,5 index,3295,4,260
Fatehpur,4 index,1150,3,110
Fatehpur Ambkhera,3 index,1200,3,61.96
Gagaul,2 index,965,2,48
Gangheri,1 index,812,1,26
Gejha,2 index,1100,2,43
Ghat,2 index,1180,2,41
Govindpur,2 index,1145,2,48
Govindpur Urf Ghasauli,2 index,1027,2,44
Gyanpur,2 index,1215,2,49.85
Hajipur,2 index,1200,2,75
Hasanpur Qadim,2 index,1015,2,58
Hasanpur Razapur,3 index,2400,3,165
Idris Pur,4 index,3000,4,306
Ikla,3 index,3300,4,160
Incholi,2 index,1076,2,52
Islamabad Chhilora,2 index,1300,2,109
Itayira,2 index,1300,2,102
Jalalpur,3 index,1512,3,123
Jalaluddinpur Masoodpur Gawri,3 index,1053.4,3,88.91
Jamalpur Majra,1 index,540 - 670,1,41.745
Jangethi,2 index,1153,2,65
Jani Buzurg,2 index,2080,2,150
Jani Khurd,2 index,1255,2,69
Janjokhar,4 index,315Sq. Yards,5,260
Jasora,3 index,1583,3,109
Jasori,2 index,1505,2,90
Jataula,3 index,1365,2,75.08
Jatpura,3 index,1200,3,95.75
Jithauli,3 index,1810,4,148
Johra,1 index,440,1,35
Jurranpur,2 index,975,2,63
Kaili,2 index,1250,2,39
Kaithwari,3 index,1530,2,97
Kalanjari,3 index,1300,2,39
Kalina,2 index,1115,2,40
Kalyan Pur,2 index,1308,2,83
Kamalpur,2 index,1194,2,47
Kanauni,3 index,1490,2,59.6
Kastala Shamshernagar,4 index,10000,4,450
Kaul,3 index,1592,3,91
Kazamabadgoon,2 index,1222,2,112
Khajuri,2 index,1267,2,42.85
Khandawali,1 index,656,1,53
Khanpur,4 index,3400,4,530
Khanpur,4 index,4500,5,400
Khardoni Shekhupur,2 index,1200,1,36
Kharkhari,3 index,1698,3,102
Kharkhauda,3 index,1500,3,70
Kharkhoda (NP),4 index,2000,5,80
Khaspur,2 index,1152,2,65.75
Khawajahanpur,1 index,550,1,21
Khera Balrampur,2 index,900,2,42
Kheri Nizd Kalina,3 index,1410,2,45.12
Kherki Muzakkipur,3 index,1419,2,73
Khwajampur Majra,2 index,1200,2,55
Kinannagar,3 index,1800,3,65
Kishori,2 index,990,2,40
Kitholi,2 index,1016,2,45
Kudhla,2 index,1100,2,39
Kunkura,4 index,850,2,65
Kurali,2 index,1095,2,35
Kuri,3 index,2000,3,85
Ladpura,2 index,1444,2,70
Laharra,2 index,1415,2,67
Lahaurgarh,3 index,1500,2,130
Mahroli,3 index,1600,3,72
Makarmatpur Bharapur,2 index,1105,2,41.36
Mamipur,3 index,1225,3,45.03
Mansabgarh,3 index,2560,3,265
Masoori,2 index,1080,2,37.8
Mau Khas,7 index,2400,3,150
Medpur,3 index,1856,3,135
Meerut (CB),3 index,1464,3,56
Meerut (M Corp.),6 index,2100,6,71
Mehpa,2 index,1150,2,77
Mewla,5 index,1200,4,98
Mirpur,3 index,1650 - 2538,,113.19
Mirpur Jakhera,3 index,1485,2,67
Mirzapur,3 index,2500,3,75
Mohd.Pur Gumi,2 index,1200,2,45
Mohdpur Dhumi,2 index,1036,2,59.46
Mohiuddinpur (CT),4 index,3445,5,270
Mohiuddinpur Lalsana,2 index,1400,2,80
Morna,2 index,1110,2,33
Mundali,2 index,1150,2,48
